config,n_members,accuracy,macro_f1,cancer_recall,benign_recall,roc_auc
EfficientNet-B0 (5-fold),5,0.6923076923076923,0.6651996283929836,0.6433333333333333,0.734375,0.9038927296888203
ResNet50 (5-fold),5,0.7714932126696833,0.7037088952580098,0.8033333333333333,0.578125,0.9066006844448972
Ensemble 10-model (bobot setara),10,0.744343891402715,0.6958565225147746,0.74,0.671875,0.9117459284434051
Ensemble 10-model (bobot tertimbang),10,0.751131221719457,0.7004519071450073,0.75,0.671875,0.9118149892120639
