config,n_members,accuracy,macro_f1,cancer_recall,benign_recall,roc_auc
EfficientNet-B0 (5-fold),5,0.7341513292433538,0.6813108695206155,0.7138263665594855,0.6617647058823529,0.8906707157435925
ResNet50 (5-fold),5,0.787321063394683,0.7162343486528181,0.797427652733119,0.5735294117647058,0.914768974352027
Ensemble 10-model (bobot setara),10,0.7709611451942741,0.714305004986946,0.7556270096463023,0.6617647058823529,0.9093082063663042
Ensemble 10-model (bobot tertimbang),10,0.7750511247443763,0.7174593998901978,0.7620578778135049,0.6617647058823529,0.9095203905974474
