config,n_members,accuracy,macro_f1,cancer_recall,benign_recall,roc_auc
EfficientNet-B0 (5-fold),5,0.6991150442477876,0.703777401117371,0.5887850467289719,0.6274509803921569,0.8756263860487215
ResNet50 (5-fold),5,0.7168141592920354,0.7137249060208025,0.616822429906542,0.5882352941176471,0.8669535724696441
Ensemble 10-model (bobot setara),10,0.7212389380530974,0.722493979856507,0.6074766355140186,0.6274509803921569,0.877032007487328
Ensemble 10-model (bobot tertimbang),10,0.7212389380530974,0.722493979856507,0.6074766355140186,0.6274509803921569,0.876856435700981
