konfigurasi,tunggal_akurasi,tunggal_simpangan,softvoting_akurasi,accuracy,macro_f1,cancer_recall,cancer_precision,jurang_overfitting
tanpa,0.7572597137014315,0.0287925071108431,0.7811860940695297,0.8118609406952966,0.6808199546485261,0.8971061093247589,0.8885350318471338,0.10010457856999999
ringan_ct,0.7558282208588958,0.030776171363648182,0.7668711656441718,0.8057259713701431,0.6619051107126493,0.9035369774919614,0.8808777429467085,0.05336295618000001
penuh,0.7498977505112474,0.03166690859713787,0.7750511247443763,0.8159509202453987,0.6815429385088828,0.9035369774919614,0.8836477987421384,0.007038711209999993
