threshold,accuracy,macro_f1,cancer_recall,cancer_precision
0.5,0.8057259713701431,0.6619051107126493,0.9035369774919614,0.8808777429467085
0.4,0.8220858895705522,0.6699269561377199,0.932475884244373,0.8787878787878788
0.35,0.8179959100204499,0.6422608795079712,0.9421221864951769,0.8567251461988304
0.3,0.820040899795501,0.6300420168067227,0.954983922829582,0.8510028653295129
0.25,0.8077709611451943,0.5756415128068998,0.9581993569131833,0.8277777777777777
0.2,0.7914110429447853,0.5495508076153238,0.9742765273311897,0.7931937172774869
0.15,0.7689161554192229,0.5272512456978476,0.9871382636655949,0.748780487804878
