config,n_members,accuracy,macro_f1,cancer_recall,benign_recall,roc_auc
EfficientNet-B0 (5-fold),5,0.7341513292433538,0.6852190762313989,0.7041800643086816,0.6911764705882353,0.8929391733989765
ResNet50 (5-fold),5,0.7914110429447853,0.7230943487021525,0.8006430868167203,0.5882352941176471,0.9245991003397488
Ensemble 10-model (bobot setara),10,0.7668711656441718,0.6980606149269745,0.7684887459807074,0.5735294117647058,0.9148908136012232
Ensemble 10-model (bobot tertimbang),10,0.7668711656441718,0.698403662248318,0.7684887459807074,0.5735294117647058,0.9156200082367775
