config,n_members,accuracy,macro_f1,cancer_recall,benign_recall,roc_auc
EfficientNet-B0 (5-fold),5,0.7394636015325671,0.6800197747246823,0.6960486322188449,0.5571428571428572,0.898178447772687
ResNet50 (5-fold),5,0.7509578544061303,0.7052674143342225,0.7142857142857143,0.7142857142857143,0.9096655150238663
Ensemble 10-model (bobot setara),10,0.7567049808429118,0.7080311027998897,0.7112462006079028,0.6714285714285714,0.9129176721524471
Ensemble 10-model (bobot tertimbang),10,0.7567049808429118,0.7080311027998897,0.7112462006079028,0.6714285714285714,0.9129877113293134
