threshold,accuracy,macro_f1,cancer_recall,cancer_precision
0.5,0.8144796380090498,0.7067687052925082,0.9066666666666666,0.8774193548387097
0.4,0.830316742081448,0.7111927968554027,0.94,0.8703703703703703
0.35,0.834841628959276,0.6817822283836371,0.9733333333333334,0.8513119533527697
0.3,0.8257918552036199,0.6452022415212599,0.98,0.8352272727272727
0.25,0.8122171945701357,0.5918956320131011,0.9833333333333333,0.817174515235457
0.2,0.8122171945701357,0.5859946785319919,0.99,0.8027027027027027
0.15,0.8099547511312217,0.5687824885017251,1.0,0.7915567282321899
