Device: cuda

  [A-head] epoch 5/12 lr=1.0e-03 train_loss=0.6244 train_acc=0.729 val_loss=0.6708 val_acc=0.650 val_macroF1=0.624 val_cancerRecall=0.745 (12.9s)
  [A-head] epoch 6/12 lr=1.0e-03 train_loss=0.6291 train_acc=0.677 val_loss=0.6203 val_acc=0.673 val_macroF1=0.626 val_cancerRecall=0.806 (12.8s)
  [A-head] epoch 7/12 lr=1.0e-03 train_loss=0.5931 train_acc=0.706 val_loss=0.6696 val_acc=0.664 val_macroF1=0.664 val_cancerRecall=0.612 (12.8s)
  [A-head] epoch 8/12 lr=1.0e-03 train_loss=0.5751 train_acc=0.705 val_loss=0.6261 val_acc=0.668 val_macroF1=0.651 val_cancerRecall=0.673 (12.8s)
  [A-head] early stopping at epoch 8 (no val macro-F1 improvement for 6 epochs)
  [B-finetune] epoch 1/25 lr=1.0e-05 train_loss=0.5592 train_acc=0.768 val_loss=0.6512 val_acc=0.645 val_macroF1=0.625 val_cancerRecall=0.714 (13.1s)
  [B-finetune] epoch 2/25 lr=1.0e-05 train_loss=0.5634 train_acc=0.735 val_loss=0.6147 val_acc=0.677 val_macroF1=0.672 val_cancerRecall=0.633 (12.9s)
  [B-finetune] epoch 3/25 lr=1.0e-05 train_loss=0.5651 train_acc=0.739 val_loss=0.6322 val_acc=0.673 val_macroF1=0.667 val_cancerRecall=0.633 (12.8s)
  [B-finetune] epoch 4/25 lr=1.0e-05 train_loss=0.5709 train_acc=0.753 val_loss=0.6517 val_acc=0.654 val_macroF1=0.662 val_cancerRecall=0.510 (12.8s)
  [B-finetune] epoch 5/25 lr=1.0e-05 train_loss=0.5311 train_acc=0.772 val_loss=0.5905 val_acc=0.668 val_macroF1=0.657 val_cancerRecall=0.663 (12.8s)
  [B-finetune] epoch 6/25 lr=1.0e-05 train_loss=0.5589 train_acc=0.736 val_loss=0.6062 val_acc=0.673 val_macroF1=0.673 val_cancerRecall=0.571 (12.8s)
  [B-finetune] epoch 7/25 lr=1.0e-05 train_loss=0.5415 train_acc=0.757 val_loss=0.6018 val_acc=0.645 val_macroF1=0.632 val_cancerRecall=0.653 (12.8s)
  [B-finetune] epoch 8/25 lr=1.0e-05 train_loss=0.5147 train_acc=0.775 val_loss=0.5953 val_acc=0.687 val_macroF1=0.685 val_cancerRecall=0.592 (12.8s)
  [B-finetune] epoch 9/25 lr=1.0e-05 train_loss=0.5585 train_acc=0.758 val_loss=0.5854 val_acc=0.687 val_macroF1=0.683 val_cancerRecall=0.633 (12.9s)
  [B-finetune] epoch 10/25 lr=1.0e-05 train_loss=0.5256 train_acc=0.765 val_loss=0.5791 val_acc=0.700 val_macroF1=0.694 val_cancerRecall=0.633 (12.9s)
  [B-finetune] epoch 11/25 lr=1.0e-05 train_loss=0.5097 train_acc=0.751 val_loss=0.5822 val_acc=0.668 val_macroF1=0.658 val_cancerRecall=0.653 (12.9s)
  [B-finetune] epoch 12/25 lr=1.0e-05 train_loss=0.4878 train_acc=0.780 val_loss=0.5509 val_acc=0.705 val_macroF1=0.696 val_cancerRecall=0.622 (12.9s)
  [B-finetune] epoch 13/25 lr=1.0e-05 train_loss=0.5048 train_acc=0.787 val_loss=0.5678 val_acc=0.687 val_macroF1=0.660 val_cancerRecall=0.735 (12.8s)
  [B-finetune] epoch 14/25 lr=1.0e-05 train_loss=0.5180 train_acc=0.773 val_loss=0.5878 val_acc=0.682 val_macroF1=0.662 val_cancerRecall=0.724 (13.0s)
  [B-finetune] epoch 15/25 lr=1.0e-05 train_loss=0.5015 train_acc=0.754 val_loss=0.5391 val_acc=0.714 val_macroF1=0.700 val_cancerRecall=0.653 (12.8s)
  [B-finetune] epoch 16/25 lr=1.0e-05 train_loss=0.4653 train_acc=0.809 val_loss=0.5704 val_acc=0.691 val_macroF1=0.681 val_cancerRecall=0.653 (12.9s)
  [B-finetune] epoch 17/25 lr=1.0e-05 train_loss=0.4911 train_acc=0.792 val_loss=0.5555 val_acc=0.724 val_macroF1=0.716 val_cancerRecall=0.673 (12.9s)
  [B-finetune] epoch 18/25 lr=1.0e-05 train_loss=0.4539 train_acc=0.791 val_loss=0.5812 val_acc=0.673 val_macroF1=0.661 val_cancerRecall=0.643 (13.0s)
  [B-finetune] epoch 19/25 lr=1.0e-05 train_loss=0.4797 train_acc=0.802 val_loss=0.5872 val_acc=0.677 val_macroF1=0.667 val_cancerRecall=0.643 (12.8s)
  [B-finetune] epoch 20/25 lr=1.0e-05 train_loss=0.4533 train_acc=0.793 val_loss=0.5242 val_acc=0.733 val_macroF1=0.710 val_cancerRecall=0.704 (12.9s)
  [B-finetune] epoch 21/25 lr=5.0e-06 train_loss=0.4538 train_acc=0.801 val_loss=0.5567 val_acc=0.700 val_macroF1=0.692 val_cancerRecall=0.622 (12.9s)
  [B-finetune] epoch 22/25 lr=5.0e-06 train_loss=0.4839 train_acc=0.779 val_loss=0.5486 val_acc=0.700 val_macroF1=0.688 val_cancerRecall=0.633 (12.9s)
  [B-finetune] epoch 23/25 lr=5.0e-06 train_loss=0.4618 train_acc=0.802 val_loss=0.5555 val_acc=0.691 val_macroF1=0.671 val_cancerRecall=0.684 (13.0s)
  [B-finetune] early stopping at epoch 23 (no val macro-F1 improvement for 6 epochs)
=== efficientnet_b0 fold 1 DONE -- best val macro-F1 = 0.7158 ===

=== efficientnet_b0 fold 2 === train=866 val=216 class_weights=[1.534999966621399, 0.7360000014305115, 1.0089999437332153]
  [A-head] epoch 1/12 lr=1.0e-03 train_loss=0.9195 train_acc=0.557 val_loss=0.7686 val_acc=0.644 val_macroF1=0.619 val_cancerRecall=0.717 (13.0s)
  [A-head] epoch 2/12 lr=1.0e-03 train_loss=0.7256 train_acc=0.663 val_loss=0.7092 val_acc=0.648 val_macroF1=0.651 val_cancerRecall=0.596 (13.0s)
  [A-head] epoch 3/12 lr=1.0e-03 train_loss=0.6532 train_acc=0.688 val_loss=0.6893 val_acc=0.667 val_macroF1=0.669 val_cancerRecall=0.596 (12.9s)
  [A-head] epoch 4/12 lr=1.0e-03 train_loss=0.6256 train_acc=0.693 val_loss=0.6618 val_acc=0.653 val_macroF1=0.658 val_cancerRecall=0.556 (13.0s)
  [A-head] epoch 5/12 lr=1.0e-03 train_loss=0.5926 train_acc=0.689 val_loss=0.6319 val_acc=0.694 val_macroF1=0.685 val_cancerRecall=0.646 (12.9s)
  [A-head] epoch 6/12 lr=1.0e-03 train_loss=0.6170 train_acc=0.703 val_loss=0.6225 val_acc=0.708 val_macroF1=0.696 val_cancerRecall=0.667 (12.9s)
  [A-head] epoch 7/12 lr=1.0e-03 train_loss=0.6004 train_acc=0.706 val_loss=0.6322 val_acc=0.657 val_macroF1=0.661 val_cancerRecall=0.465 (13.0s)
  [A-head] epoch 8/12 lr=1.0e-03 train_loss=0.6370 train_acc=0.712 val_loss=0.6254 val_acc=0.667 val_macroF1=0.669 val_cancerRecall=0.545 (12.9s)
  [A-head] epoch 9/12 lr=1.0e-03 train_loss=0.5637 train_acc=0.747 val_loss=0.6600 val_acc=0.620 val_macroF1=0.629 val_cancerRecall=0.374 (12.9s)
  [A-head] epoch 10/12 lr=1.0e-03 train_loss=0.5924 train_acc=0.692 val_loss=0.6272 val_acc=0.644 val_macroF1=0.650 val_cancerRecall=0.424 (13.0s)
  [A-head] epoch 11/12 lr=1.0e-03 train_loss=0.5622 train_acc=0.697 val_loss=0.5721 val_acc=0.731 val_macroF1=0.700 val_cancerRecall=0.768 (12.9s)
  [A-head] epoch 12/12 lr=1.0e-03 train_loss=0.5680 train_acc=0.736 val_loss=0.5977 val_acc=0.676 val_macroF1=0.678 val_cancerRecall=0.495 (12.8s)
  [B-finetune] epoch 1/25 lr=1.0e-05 train_loss=0.5904 train_acc=0.679 val_loss=0.5778 val_acc=0.713 val_macroF1=0.709 val_cancerRecall=0.606 (12.9s)
  [B-finetune] epoch 2/25 lr=1.0e-05 train_loss=0.5709 train_acc=0.700 val_loss=0.5668 val_acc=0.718 val_macroF1=0.712 val_cancerRecall=0.626 (12.9s)
  [B-finetune] epoch 3/25 lr=1.0e-05 train_loss=0.5456 train_acc=0.721 val_loss=0.5641 val_acc=0.727 val_macroF1=0.721 val_cancerRecall=0.636 (12.9s)
  [B-finetune] epoch 4/25 lr=1.0e-05 train_loss=0.5349 train_acc=0.739 val_loss=0.5540 val_acc=0.741 val_macroF1=0.727 val_cancerRecall=0.707 (12.9s)
  [B-finetune] epoch 5/25 lr=1.0e-05 train_loss=0.5427 train_acc=0.734 val_loss=0.5410 val_acc=0.727 val_macroF1=0.714 val_cancerRecall=0.667 (12.9s)
  [B-finetune] epoch 6/25 lr=1.0e-05 train_loss=0.5402 train_acc=0.733 val_loss=0.5376 val_acc=0.741 val_macroF1=0.731 val_cancerRecall=0.667 (12.9s)
  [B-finetune] epoch 7/25 lr=1.0e-05 train_loss=0.5597 train_acc=0.733 val_loss=0.5700 val_acc=0.722 val_macroF1=0.711 val_cancerRecall=0.677 (12.9s)
  [B-finetune] epoch 8/25 lr=1.0e-05 train_loss=0.5167 train_acc=0.744 val_loss=0.5315 val_acc=0.741 val_macroF1=0.734 val_cancerRecall=0.657 (12.9s)
  [B-finetune] epoch 9/25 lr=1.0e-05 train_loss=0.5075 train_acc=0.754 val_loss=0.5501 val_acc=0.731 val_macroF1=0.725 val_cancerRecall=0.636 (12.9s)
  [B-finetune] epoch 10/25 lr=1.0e-05 train_loss=0.4829 train_acc=0.760 val_loss=0.5438 val_acc=0.741 val_macroF1=0.734 val_cancerRecall=0.657 (12.9s)
  [B-finetune] epoch 11/25 lr=1.0e-05 train_loss=0.4952 train_acc=0.749 val_loss=0.5404 val_acc=0.731 val_macroF1=0.722 val_cancerRecall=0.626 (12.9s)
  [B-finetune] epoch 12/25 lr=5.0e-06 train_loss=0.5346 train_acc=0.759 val_loss=0.5498 val_acc=0.736 val_macroF1=0.724 val_cancerRecall=0.707 (13.0s)
  [B-finetune] epoch 13/25 lr=5.0e-06 train_loss=0.4860 train_acc=0.764 val_loss=0.5344 val_acc=0.736 val_macroF1=0.725 val_cancerRecall=0.677 (13.1s)
  [B-finetune] epoch 14/25 lr=5.0e-06 train_loss=0.4705 train_acc=0.769 val_loss=0.5286 val_acc=0.741 val_macroF1=0.727 val_cancerRecall=0.667 (12.9s)
  [B-finetune] early stopping at epoch 14 (no val macro-F1 improvement for 6 epochs)
=== efficientnet_b0 fold 2 DONE -- best val macro-F1 = 0.7340 ===

=== efficientnet_b0 fold 3 === train=865 val=217 class_weights=[1.5420000553131104, 0.734000027179718, 1.0119999647140503]
  [A-head] epoch 1/12 lr=1.0e-03 train_loss=0.9419 train_acc=0.569 val_loss=0.7638 val_acc=0.696 val_macroF1=0.673 val_cancerRecall=0.724 (12.9s)
  [A-head] epoch 2/12 lr=1.0e-03 train_loss=0.7364 train_acc=0.662 val_loss=0.6474 val_acc=0.705 val_macroF1=0.616 val_cancerRecall=0.888 (12.9s)
  [A-head] epoch 3/12 lr=1.0e-03 train_loss=0.6858 train_acc=0.708 val_loss=0.6149 val_acc=0.696 val_macroF1=0.692 val_cancerRecall=0.612 (12.9s)
