config,n_members,accuracy,macro_f1,cancer_recall,benign_recall,roc_auc
EfficientNet-B0 (5-fold),5,0.6648936170212766,0.6441024380425121,0.6527777777777778,0.5384615384615384,0.8120815709192243
ResNet50 (5-fold),5,0.6382978723404256,0.6220205045022563,0.5694444444444444,0.5641025641025641,0.8182311419264671
Ensemble 10-model (bobot setara),10,0.6648936170212766,0.6456471935853378,0.6388888888888888,0.5641025641025641,0.8190635106568918
Ensemble 10-model (bobot tertimbang),10,0.6648936170212766,0.6456471935853378,0.6388888888888888,0.5641025641025641,0.8183476953943859
