Device: cuda

  [A-head] epoch 4/12 lr=1.0e-03 train_loss=0.7762 train_acc=0.615 val_loss=0.8095 val_acc=0.630 val_macroF1=0.636 val_cancerRecall=0.523 (14.3s)
  [A-head] epoch 5/12 lr=1.0e-03 train_loss=0.7848 train_acc=0.600 val_loss=0.7751 val_acc=0.653 val_macroF1=0.642 val_cancerRecall=0.613 (14.3s)
  [A-head] epoch 6/12 lr=1.0e-03 train_loss=0.7532 train_acc=0.646 val_loss=0.7738 val_acc=0.676 val_macroF1=0.669 val_cancerRecall=0.604 (14.4s)
  [A-head] epoch 7/12 lr=1.0e-03 train_loss=0.7753 train_acc=0.643 val_loss=0.7574 val_acc=0.690 val_macroF1=0.678 val_cancerRecall=0.667 (14.3s)
  [A-head] epoch 8/12 lr=1.0e-03 train_loss=0.7788 train_acc=0.659 val_loss=0.7622 val_acc=0.671 val_macroF1=0.666 val_cancerRecall=0.604 (14.3s)
  [A-head] epoch 9/12 lr=1.0e-03 train_loss=0.7266 train_acc=0.635 val_loss=0.7590 val_acc=0.639 val_macroF1=0.629 val_cancerRecall=0.604 (14.3s)
  [A-head] epoch 10/12 lr=1.0e-03 train_loss=0.7298 train_acc=0.655 val_loss=0.7773 val_acc=0.588 val_macroF1=0.595 val_cancerRecall=0.414 (14.3s)
  [A-head] epoch 11/12 lr=1.0e-03 train_loss=0.7492 train_acc=0.664 val_loss=0.7431 val_acc=0.662 val_macroF1=0.655 val_cancerRecall=0.631 (14.3s)
  [A-head] epoch 12/12 lr=1.0e-03 train_loss=0.7694 train_acc=0.621 val_loss=0.7352 val_acc=0.681 val_macroF1=0.647 val_cancerRecall=0.766 (14.3s)
  [B-finetune] epoch 1/25 lr=1.0e-05 train_loss=0.6999 train_acc=0.689 val_loss=0.7226 val_acc=0.685 val_macroF1=0.635 val_cancerRecall=0.766 (14.3s)
  [B-finetune] epoch 2/25 lr=1.0e-05 train_loss=0.7418 train_acc=0.706 val_loss=0.7428 val_acc=0.662 val_macroF1=0.656 val_cancerRecall=0.622 (14.3s)
  [B-finetune] epoch 3/25 lr=1.0e-05 train_loss=0.6842 train_acc=0.702 val_loss=0.7318 val_acc=0.667 val_macroF1=0.653 val_cancerRecall=0.658 (14.3s)
  [B-finetune] epoch 4/25 lr=1.0e-05 train_loss=0.7397 train_acc=0.683 val_loss=0.7193 val_acc=0.685 val_macroF1=0.659 val_cancerRecall=0.712 (14.3s)
  [B-finetune] epoch 5/25 lr=1.0e-05 train_loss=0.6784 train_acc=0.701 val_loss=0.7171 val_acc=0.667 val_macroF1=0.644 val_cancerRecall=0.649 (14.3s)
  [B-finetune] epoch 6/25 lr=1.0e-05 train_loss=0.7161 train_acc=0.689 val_loss=0.6979 val_acc=0.718 val_macroF1=0.690 val_cancerRecall=0.757 (14.3s)
  [B-finetune] epoch 7/25 lr=1.0e-05 train_loss=0.6689 train_acc=0.690 val_loss=0.7188 val_acc=0.681 val_macroF1=0.667 val_cancerRecall=0.631 (14.4s)
  [B-finetune] epoch 8/25 lr=1.0e-05 train_loss=0.6546 train_acc=0.703 val_loss=0.7170 val_acc=0.667 val_macroF1=0.662 val_cancerRecall=0.586 (14.3s)
  [B-finetune] epoch 9/25 lr=1.0e-05 train_loss=0.6483 train_acc=0.680 val_loss=0.7281 val_acc=0.644 val_macroF1=0.642 val_cancerRecall=0.550 (14.4s)
  [B-finetune] epoch 10/25 lr=5.0e-06 train_loss=0.6540 train_acc=0.688 val_loss=0.7025 val_acc=0.685 val_macroF1=0.666 val_cancerRecall=0.649 (14.2s)
  [B-finetune] epoch 11/25 lr=5.0e-06 train_loss=0.6406 train_acc=0.697 val_loss=0.7336 val_acc=0.648 val_macroF1=0.654 val_cancerRecall=0.505 (14.4s)
  [B-finetune] epoch 12/25 lr=5.0e-06 train_loss=0.6358 train_acc=0.709 val_loss=0.7002 val_acc=0.708 val_macroF1=0.693 val_cancerRecall=0.676 (14.3s)
  [B-finetune] epoch 13/25 lr=5.0e-06 train_loss=0.6562 train_acc=0.681 val_loss=0.7190 val_acc=0.676 val_macroF1=0.661 val_cancerRecall=0.631 (14.3s)
  [B-finetune] epoch 14/25 lr=5.0e-06 train_loss=0.6924 train_acc=0.704 val_loss=0.6999 val_acc=0.676 val_macroF1=0.659 val_cancerRecall=0.658 (14.2s)
  [B-finetune] epoch 15/25 lr=5.0e-06 train_loss=0.6918 train_acc=0.699 val_loss=0.7140 val_acc=0.653 val_macroF1=0.650 val_cancerRecall=0.586 (14.4s)
  [B-finetune] epoch 16/25 lr=2.5e-06 train_loss=0.6395 train_acc=0.686 val_loss=0.6980 val_acc=0.667 val_macroF1=0.657 val_cancerRecall=0.604 (14.3s)
  [B-finetune] epoch 17/25 lr=2.5e-06 train_loss=0.6554 train_acc=0.688 val_loss=0.6987 val_acc=0.685 val_macroF1=0.664 val_cancerRecall=0.676 (14.5s)
  [B-finetune] epoch 18/25 lr=2.5e-06 train_loss=0.6273 train_acc=0.694 val_loss=0.7123 val_acc=0.667 val_macroF1=0.656 val_cancerRecall=0.604 (15.3s)
  [B-finetune] early stopping at epoch 18 (no val macro-F1 improvement for 6 epochs)
=== efficientnet_b0 fold 1 DONE -- best val macro-F1 = 0.6934 ===

